era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E1,2016,0.0,0.2549509756796392,0.0,0.0,0.0,0.0,0.2549509756796392,0.0,0.0,0.0,0.0,0.503478676,0.322076201
E1,2016,1.1603744924117492,0.5024937810560445,0.25,0.0,0.0,-0.2,1.0259142264341596,0.0,0.0,1.0,-0.1,0.597232967,0.0913255438
E1,2016,1.0572686711430714,0.5830951894845301,0.0,0.0,0.0,0.1,0.30413812651491096,0.0,0.0,1.0,-0.1,0.689284144,0.475801557
E1,2016,0.19740627921859485,0.30413812651491096,0.0,0.0,0.0,0.0,0.4743416490252569,0.0,0.0,0.0,-0.1,0.427647815,0.21954985
E1,2016,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.526531104,0.381989807
E1,2016,0.0,0.1,0.5,0.0,0.0,0.2,0.1,0.5,0.0,0.0,0.2,0.394473689,0.992335141
E1,2016,0.6931549318364999,0.1,0.0,0.25,0.0,-0.3,0.6726812023536854,0.0,0.0,0.0,0.0,0.588389369,0.0971251205
E1,2017,0.2551070792282797,0.7106335201775947,0.0,0.0,0.0,-0.1,0.552268050859363,0.0,0.0,0.0,-0.3,0.517068594,0.105203353
E1,2016,0.0,0.1118033988749895,0.0,0.0,1.0,-0.1,0.1118033988749895,0.0,0.0,1.0,-0.1,0.459709088,0.87038058
E1,2017,0.344738623770411,0.223606797749979,0.25,0.0,0.0,0.0,0.4609772228646444,0.0,0.0,0.0,0.0,0.405826619,0.333381802
E1,2016,0.0,0.2549509756796392,0.25,0.25,0.0,0.0,0.2549509756796392,0.25,0.25,0.0,0.0,0.256807408,0.618094146
E1,2017,0.530168505064843,0.6324555320336759,0.0,0.0,0.0,0.0,0.1118033988749895,0.0,0.0,0.0,-0.1,0.655193325,0.340966046
E1,2016,0.0,0.1118033988749895,0.25,0.0,1.0,0.1,0.1118033988749895,0.25,0.0,1.0,0.1,0.534425793,0.876696229
E1,2017,0.0,0.1118033988749895,0.0,0.25,0.0,-0.1,0.1118033988749895,0.0,0.25,0.0,-0.1,0.367347499,0.579291105
E1,2017,1.085806956751325,0.30413812651491096,0.25,0.25,0.0,0.0,0.1414213562373095,0.25,0.0,1.0,-0.3,0.549538987,0.510112107
E1,2016,0.36378567931511374,0.45,0.0,0.0,0.0,-0.1,0.6946221994724902,0.25,0.0,0.0,-0.2,0.321637972,0.588387966
E1,2017,0.514445361821886,0.2692582403567252,0.0,0.0,0.0,0.0,0.6041522986797286,0.0,0.25,0.0,-0.3,0.352887298,0.43063727
E1,2017,0.18027756377319948,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.1,0.426901975,0.254786283
