year,JPN,KOR,CHN,INTL,unknown,total,region_entropy
1995,957,0,0,52,0,1009,0.29288702015049667
1996,613,76,43,83,1,816,1.1999709682972963
1997,639,70,0,54,0,763,0.8008548148710908
1998,716,76,24,77,0,893,1.0031476627766145
1999,787,73,0,84,0,944,0.8149260377240775
2000,769,81,0,101,0,951,0.8940512606878711
2001,750,80,0,73,0,903,0.8255904505410325
2002,810,85,1,76,0,972,0.8243176684321938
2003,726,104,0,75,0,905,0.9115147352757836
2004,784,95,0,72,0,951,0.8435608361375247
2005,826,93,0,61,0,980,0.7796429681690554
2006,1029,117,1,94,0,1241,0.8355508313287049
2007,1118,102,0,67,1,1288,0.6968555727726529
2008,1272,111,1,129,1,1514,0.8041656087201032
2009,1114,210,1,75,6,1406,0.9424085648348403
2010,1111,230,0,91,1,1433,0.9681630829442329
2011,1049,255,1,60,0,1365,0.9498664271045968
2012,1177,264,103,82,2,1628,1.2449252027432527
2013,1156,188,100,12,1,1457,0.9755785992146108
2014,1512,211,104,60,1,1888,1.0041887905362785
2015,1506,198,133,69,5,1911,1.072712208960986
2016,1723,257,224,173,8,2385,1.3078440614461364
2017,1970,233,185,60,8,2456,1.0162826267652767
2018,1638,240,24,123,1,2026,0.9391435821337882
2019,1758,179,96,128,0,2161,0.9809974473076158
2020,1890,419,39,100,0,2448,1.0076221227792241
2021,1854,276,7,35,0,2172,0.695792701713208
2022,1772,256,7,108,0,2143,0.8371753632311205
2023,1926,233,147,39,0,2345,0.912993161979488
2024,1993,220,7,178,0,2398,0.8410612812557208
2025,2063,182,0,28,0,2273,0.4967330269887261
2026,677,56,0,35,0,768,0.6389001033402025
